0,0,0
5,0.4,0.02
10,0.19,0.14
15,0.35,0.32
20,0.51,0.49
25,0.69,0.65
30,0.85,0.81
35,1,0.98
40,1.17,1.12
45,1.33,1.29
50,1.49,1.43
55,1.64,1.58
60,1.8,1.76
65,1.96,1.91
70,2.13,2.05
75,2.3,2.23
80,2.5,2.44
85,2.75,2.66
90,3.01,2.9
95,3.26,3.22
100,3.3,3.3
